Time,Current,Theta_m,Q_load,Speed,DotQ,Delta_Theta,Tau_m
0.828,20.616582711721,24.0285738147489,0.236329349866103,31.6171970944091,0.313043696605004,0.00157732156705415,1.13535520993448
0.829,20.6165827563649,24.0601910101984,0.236642393592561,31.6172013990509,0.313043609042606,0.00157731937970057,1.13535521239301
0.83,20.6165827890136,24.0918082105147,0.236955437215404,31.6172057361639,0.313043516807383,0.00157731734414771,1.13535521419098
0.831,20.6165828096075,24.123425415809,0.23726848072874,31.6172100889047,0.313043420279323,0.0015773154673886,1.13535521532508
0.832,20.6165828181654,24.1550426261575,0.237581524127524,31.6172144407657,0.313043319855953,0.00157731375522374,1.13535521579637
0.833,20.6165828147842,24.1866598416022,0.237894567407563,31.6172187755748,0.313043215952337,0.00157731221226082,1.13535521561017
0.834,20.6165827996396,24.2182770621503,0.238207610565514,31.6172230774959,0.313043109001072,0.00157731084191493,1.13535521477615
0.835,20.6165827729852,24.2498942877746,0.238520653598884,31.6172273310282,0.313042999452293,0.00157730964640843,1.13535521330829
0.836,20.6165827351531,24.281511518413,0.238833696506031,31.6172315210067,0.313042887773673,0.00157730862677094,1.13535521122488
0.837,20.6165826865539,24.3131287539691,0.239146739286161,31.6172356326023,0.313042774450419,0.00157730778283952,1.13535520854852
0.838,20.6165826276764,24.3447459943117,0.239459781939333,31.6172396513213,0.313042659985276,0.00157730711325849,1.13535520530614
0.839,20.6165825590878,24.3763632392753,0.239772824466454,31.6172435630058,0.313042544898522,0.00157730661547939,1.13535520152896
0.84,20.6165824814336,24.4079804886594,0.240085866869282,31.6172473538334,0.313042429727975,0.00157730628576125,1.13535519725255
0.841,20.6165823954377,24.4395977422293,0.240398909150427,31.6172510103177,0.313042315028988,0.00157730611917026,1.13535519251675
0.842,20.6165823019023,24.4712149997154,0.240711951313345,31.6172545193076,0.313042201374449,0.00157730610958004,1.13535518736576
0.843,20.616582201708,24.5028322608138,0.241024993362346,31.617257867988,0.313042089354785,0.00157730624967137,1.13535518184806
0.844,20.6165820958138,24.5344495251857,0.241338035302589,31.6172610438793,0.313041979577957,0.00157730653093249,1.13535517601647
0.845,20.6165819852569,24.566066792458,0.241651077140084,31.6172640348375,0.313041872669463,0.0015773069436589,1.1353551699281
0.846,20.616581871153,24.5976840622228,0.241964118881688,31.6172668290545,0.313041769272336,0.00157730747695345,1.1353551636444
0.847,20.6165817546961,24.6293013340377,0.242277160535112,31.6172694150577,0.313041670047149,0.00157730811872617,1.13535515723111
0.848,20.6165816371585,24.6609186074256,0.242590202108916,31.6172717817102,0.313041575672007,0.00157730885569457,1.13535515075832
0.849,20.6165815198909,24.6925358818751,0.242903243612509,31.6172739182109,0.313041486842554,0.00157730967338338,1.13535514430039
0.85,20.6165814036505,24.7241531570489,0.243216285054287,31.6172758283675,0.313041403714908,0.00157731056005903,1.13535513789903
0.851,20.6165812846236,24.7557704340626,0.243529326428059,31.6172776071225,0.313041322796654,0.00157731153295637,1.13535513134422
0.852,20.6165811626078,24.7873877129714,0.243842367733738,31.617279260275,0.313041243884404,0.00157731259271182,1.13535512462481
0.853,20.6165810383787,24.8190049935284,0.244155408973826,31.617280772454,0.313041167595045,0.00157731373437608,1.13535511778351
