Time,Current,Speed
0.43,1.1391406376529,195.988806450419
0.432,1.1458404344571,195.89208805437
0.434,1.15271785245614,195.796594186502
0.436,1.15976037867257,195.702352894405
0.438,1.16695585612216,195.609390319191
0.44,1.17429248381384,195.517730695493
0.442,1.18175881674975,195.427396351465
0.444,1.18934376592522,195.338407708782
0.446,1.19703659832877,195.250783282639
0.448,1.20482688284569,195.164539922928
0.45,1.21270448612813,195.079692195671
0.452,1.2206597282771,194.996251968974
0.454,1.2286832284305,194.914229806066
0.456,1.23676589870889,194.833635005989
0.458,1.24489894421548,194.754475603602
0.46,1.25307386303615,194.676758369576
0.462,1.26128244623943,194.600488810396
0.464,1.26951677787649,194.525671168362
0.466,1.2777692349812,194.452308421588
0.468,1.28603248757004,194.380402284001
0.47,1.29429949196253,194.309953215165
0.472,1.30256344375339,194.240960183102
0.474,1.31081790058843,194.173420333505
0.476,1.31905668278567,194.107329890267
0.478,1.32727384337822,194.04268428446
0.48,1.3354636681143,193.979478154339
0.482,1.3436206754572,193.917705345338
0.484,1.35173961658532,193.857358910074
0.486,1.35981547539212,193.798431108345
0.488,1.36784346848618,193.740913407129
0.49,1.37581904451813,193.684796483275
0.492,1.38373784977309,193.630070244868
0.494,1.39159582238714,193.576723258323
0.496,1.39938912915256,193.524743375354
0.498,1.40711411598741,193.474118010954
0.5,1.41476730793547,193.424834143401
0.502,1.4223454091663,193.376878314251
0.504,1.42984530297517,193.330236628347
0.506,1.43726405178313,193.284894753808
0.508,1.44459889713694,193.24083792204
0.51,1.45184725960247,193.198050928128
0.512,1.45900671237266,193.156518155146
0.514,1.46607506267275,193.11622310494
0.516,1.47305030306054,193.077148840734
0.518,1.47993055717855,193.039278257954
0.52,1.48671407975404,193.002594084234
0.522,1.49339925659901,192.967078879412
0.524,1.49998460461016,192.932715035533
0.526,1.50646877176894,192.899484776847
0.528,1.51285053714154,192.867370159809
0.53,1.51912881087886,192.836353073079
0.532,1.52530261786559,192.806415250573
0.534,1.53137114877062,192.777537948476
0.536,1.53733375570169,192.749702138396
0.538,1.54318988077144,192.722888816106
0.54,1.54893905540968,192.697079003785
0.542,1.55458090036347,192.672253750023
0.544,1.56011512569709,192.648394129817
0.546,1.56554153079203,192.625481244573
0.548,1.57086000434701,192.603496222106
0.55,1.57607052437795,192.582420216639
0.552,1.58117315374177,192.562234413592
0.554,1.58616804307292,192.542919893424
0.556,1.5910554930435,192.524457510988
0.558,1.59583587146041,192.506828240836
0.56,1.6005096005333,192.49001321363
0.562,1.60507715687456,192.473993716139
0.564,1.60953907149937,192.458751191238
0.566,1.61389592982562,192.444267237914
0.568,1.61814837167397,192.43052361126
0.57,1.62229709126786,192.417502222478
0.572,1.62634283723343,192.405185138877
0.574,1.63028640593835,192.393554573409
0.576,1.63412866749789,192.38259270592
0.578,1.63787058914651,192.372281762096
0.58,1.64151316808111,192.362604194028
0.582,1.64505742806738,192.353542684996
0.584,1.64850441943977,192.345080149462
