Time,tau_m,tau_ext,theta_m,q,d_theta_m,d_q,dd_theta_m,dd_q
0.99,-0.0320347360561706,0,158.509638660518,1.58582720903243,111.905267667114,1.12579596249455,-686.098674864439,-8.84502847732693
0.992,-0.0283334850140549,0,158.732177366664,1.58813208929145,110.575352734783,1.10720910305141,-644.32539721809,-8.72491359102453
0.994,-0.0248158454752894,0,158.952130004971,1.5903974855514,109.317728255959,1.08862562835645,-613.793931026099,-8.5306789284727
0.996,-0.0216638370939037,0,159.169615916205,1.59262182911096,108.108504058636,1.07024294155283,-595.808493067346,-8.26909009398413
0.998,-0.0190246714609633,0,159.384704979655,1.59480414665491,106.922264080653,1.05225456507048,-590.596674174311,-7.95225735560348
1,-0.017,0,159.597416768524,1.5969440942124,105.734212835318,1.03483822714561,-597.328456522093,-7.5965682873066
1.002,-0.0156389799147588,0,159.807723944056,1.5990420106026,104.522196929667,1.01814465169522,-614.219645567105,-7.22128775109679
1.004,-0.0149357142654222,0,160.015559466619,1.60109898355589,103.268442080001,1.00228767331578,-638.709347630505,-6.84694738848092
1.006,-0.0148312591395997,0,160.220826883371,1.60311689852334,101.960873136812,0.987336543625675,-667.695505911461,-6.49366250696031
1.008,-0.0152200120145267,0,160.423412702901,1.6050984223188,100.593921474124,0.973311412544231,-697.808314279026,-6.17951899569576
1.01,-0.0159599322068004,0,160.623199721097,1.6070468782712,99.1687673198443,0.960182733151008,-725.698830983936,-5.91916633050734
1.012,-0.0168857269021984,0,160.820080132814,1.60896599976501,97.693010719041,0.947874833820589,-748.319436591167,-5.72273397115097
1.014,-0.0178238909750681,0,161.013967333378,1.61085958516245,96.1798104719809,0.936273440726527,-763.173906973795,-5.59515770300609
1.016,-0.0186083359829188,0,161.204805458342,1.61273109928947,94.6465721700624,0.925236630660169,-768.517667405581,-5.53596285989845
1.018,-0.0190952960226288,0,161.392575920229,1.61458327735701,93.113301091005,0.914608401771813,-763.493018276734,-5.53950897450528
1.02,-0.0191762595020388,0,161.577300475296,1.61641780132972,91.6007605669809,0.904233669151266,-748.189447673972,-5.5956611411415
1.022,-0.0187878412062036,0,161.759040666565,1.61823513258049,90.1285897800871,0.893973096305142,-723.625167972723,-5.69081995544768
1.024,-0.0179177645864351,0,161.93789378753,1.62003456835877,88.7135359485845,0.883715877443023,-691.652279628177,-5.8092149926407
1.026,-0.016606448751018,0,162.113985750471,1.62181452454944,87.3679446428032,0.87338848934445,-654.79400363048,-5.93434809822357
1.028,-0.0149440612416656,0,162.287461428599,1.62357296185508,86.0986296508028,0.862957736376904,-616.027775897253,-6.05046447750104
1.03,-0.0130632759017604,0,162.458473207521,1.62530782352456,84.9062124571999,0.852427355264887,-578.532247738241,-6.14393112439401
1.032,-0.011128333578686,0,162.627168640118,1.62701736822125,83.7849834560484,0.841828906886384,-545.419049527063,-6.20441093900321
1.034,-0.00932131229107673,0,162.793678213091,1.62870033599259,82.7232949815732,0.831209013895624,-519.471322391815,-6.22573640107392
1.036,-0.00782674718040845,0,162.958104257996,1.63035593791863,81.7044528869802,0.820615516783324,-502.91040729298,-6.20641001792844
1.038,-0.00681587964097711,0,163.120511966986,1.6319837007321,80.7080321797158,0.810084739377392,-497.209741814082,-6.14968892780356
1.04,-0.00643184791801226,0,163.280923321838,1.63358323523425,79.7115069889547,0.799631331862078,-502.971130416246,-6.0632452533642
1.042,-0.00677705542426237,0,163.4393145225,1.63515402447649,78.692059237624,0.789241625597786,-519.873432012261,-5.95843023205471
1.044,-0.007903774332496,0,163.595617209786,1.63669532533966,77.628415911628,0.778871105630409,-546.697763133868,-5.84920650170086
1.046,-0.00980877545362444,0,163.74972343395,1.63820623954791,76.5025626400154,0.768446192349778,-581.427028318463,-5.75084419795874
1.048,-0.012432443095918,0,163.901493964717,1.63968595022676,75.3011914274525,0.757869873402192,-621.411473947014,-5.67849746034163
